  Packet #,    ADC,      Pitch,       Roll,        Yaw,   AccX,   AccY,   AccZ,  GyroX,  GyroY,  GyroZ,   MagX,   MagY,   MagZ,   Temp
     30033,    196,    -50.601,   -144.996,    142.775,   1026,    -19,    191,    -22,   -366,     -4,    251,   -570,  -1116,   3129
     30034,    195,    -50.406,   -145.628,    143.402,   1017,     12,    160,     -2,   -372,    -61,    251,   -599,  -1144,   3133
     30035,    196,    -50.211,   -146.286,    144.027,   1022,     20,    145,     -7,   -371,    -58,    259,   -591,  -1110,   3131
     30036,    196,    -49.948,   -146.690,    144.406,   1044,    -74,    123,      8,   -370,    -25,    287,   -548,  -1165,   3132
     30037,    194,    -49.591,   -146.714,    144.522,   1057,   -216,    120,     -4,   -366,    -24,    251,   -541,  -1172,   3131
     30038,    199,    -49.284,   -146.848,    144.710,   1085,   -187,    105,    -59,   -361,    -25,    223,   -526,  -1130,   3131
     30039,    194,    -49.030,   -146.964,    144.860,   1051,   -158,    149,    -30,   -342,    -13,    266,   -570,  -1144,   3132
     30040,    195,    -48.729,   -147.004,    145.072,    985,   -119,    183,    -28,   -323,     15,    172,   -635,  -1179,   3133
     30041,    198,    -48.630,   -147.614,    145.588,    966,     45,    188,    -33,   -296,    -48,    259,   -548,  -1207,   3132
     30042,    196,    -48.471,   -147.847,    145.830,    976,    -37,    200,    -14,   -263,     33,    237,   -570,  -1200,   3133
     30043,    196,    -48.279,   -148.434,    146.316,    994,     11,     71,     41,   -232,    -50,    273,   -519,  -1151,   3134
     30044,    194,    -48.182,   -148.949,    146.740,    988,     27,    136,     12,   -203,    -40,    259,   -505,  -1221,   3133
     30045,    193,    -47.957,   -148.897,    146.706,   1048,   -200,     92,    -36,   -156,     10,    259,   -534,  -1207,   3131
     30046,    194,    -47.995,   -149.236,    146.968,   1104,    -53,    113,    -60,   -110,   -101,    259,   -505,  -1234,   3132
     30047,    196,    -47.960,   -149.226,    146.972,   1058,   -115,    160,    -55,    -64,     13,    230,   -548,  -1179,   3133
